"Prioritization","contact_tracing_frac","replication","n_infected","n_icu","n_contacts_traced","n_times_contact_tracing","n_times_contact_traced"
"Old",0.2,"2 m140-old-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",35287,1308,8996,1444,7552
"Old",0.3,"2 m141-old-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",22783,805,15063,2016,13047
"Old",0.4,"2 m142-old-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",11172,455,11473,1397,10076
"Old",0.5,"2 m143-old-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",6640,254,8864,1000,7864
"Young",0,"2 m144-young-0-individuals-weight-0.8-ill_symptomatic-10-0.0",48967,1897,0,0,0
"Young",0.1,"2 m145-young-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",43721,1707,8845,1026,7819
"Young",0.2,"2 m146-young-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",25995,1022,18184,1789,16395
"Young",0.3,"2 m147-young-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",13528,568,15155,1537,13618
"Young",0.4,"2 m148-young-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",8690,367,11972,1224,10748
"Young",0.5,"2 m149-young-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",5775,233,8067,832,7235
"Old",0.3,"2 m15-old-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",26915,1012,16324,2215,14109
"HH",0,"2 m150-household_size-0-individuals-weight-0.8-ill_symptomatic-10-0.0",55336,2203,0,0,0
"HH",0.1,"2 m151-household_size-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",25041,962,8280,719,7561
"HH",0.2,"2 m152-household_size-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",15311,676,9177,852,8325
"HH",0.3,"2 m153-household_size-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",8988,383,8477,818,7659
"HH",0.4,"2 m154-household_size-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",6861,316,7384,713,6671
"HH",0.5,"2 m155-household_size-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",4378,197,5184,505,4679
"Inc. emp.",0,"2 m156-inc_rank_emp-0-individuals-weight-0.8-ill_symptomatic-10-0.0",46662,1855,0,0,0
"Inc. emp.",0.1,"2 m157-inc_rank_emp-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",29036,1138,10891,1081,9810
"Inc. emp.",0.2,"2 m158-inc_rank_emp-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",10899,461,11316,1082,10234
"Inc. emp.",0.3,"2 m159-inc_rank_emp-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",9962,444,11968,1212,10756
"Old",0.4,"2 m16-old-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",12219,437,12831,1573,11258
"Inc. emp.",0.4,"2 m160-inc_rank_emp-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",6644,252,8508,855,7653
"Inc. emp.",0.5,"2 m161-inc_rank_emp-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",3487,178,3432,350,3082
"Inc. sim.",0,"2 m162-inc_rank_sim-0-individuals-weight-0.8-ill_symptomatic-10-0.0",50657,1994,0,0,0
"Inc. sim.",0.1,"2 m163-inc_rank_sim-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",38294,1482,11303,1388,9915
"Inc. sim.",0.2,"2 m164-inc_rank_sim-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",12663,504,10234,966,9268
"Inc. sim.",0.3,"2 m165-inc_rank_sim-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",5147,231,5790,599,5191
"Inc. sim.",0.4,"2 m166-inc_rank_sim-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",5170,256,6586,699,5887
"Inc. sim.",0.5,"2 m167-inc_rank_sim-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",3885,187,4354,440,3914
"Old",0.5,"2 m17-old-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",6251,254,7259,870,6389
"Young",0,"2 m18-young-0-individuals-weight-0.8-ill_symptomatic-10-0.0",46003,1787,0,0,0
"Young",0.1,"2 m19-young-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",40084,1619,9454,1086,8368
"Random",0.2,"2 m2-random-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",19783,755,17968,1918,16050
"Young",0.2,"2 m20-young-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",26384,1104,17795,1784,16011
"Young",0.3,"2 m21-young-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",11087,455,11526,1187,10339
"Young",0.4,"2 m22-young-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",7637,320,10097,1027,9070
"Young",0.5,"2 m23-young-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",6535,298,9742,999,8743
"HH",0,"2 m24-household_size-0-individuals-weight-0.8-ill_symptomatic-10-0.0",50604,1994,0,0,0
"HH",0.1,"2 m25-household_size-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",27591,1069,9115,799,8316
"HH",0.2,"2 m26-household_size-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",15021,704,9481,860,8621
"HH",0.3,"2 m27-household_size-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",8785,382,8691,805,7886
"HH",0.4,"2 m28-household_size-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",6030,271,5991,592,5399
"HH",0.5,"2 m29-household_size-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",3677,166,3992,390,3602
"Random",0.3,"2 m3-random-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",12528,511,14659,1608,13051
"Inc. emp.",0,"2 m30-inc_rank_emp-0-individuals-weight-0.8-ill_symptomatic-10-0.0",51449,2004,0,0,0
"Inc. emp.",0.1,"2 m31-inc_rank_emp-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",34218,1310,12826,1292,11534
"Inc. emp.",0.2,"2 m32-inc_rank_emp-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",11382,406,11533,1111,10422
"Inc. emp.",0.3,"2 m33-inc_rank_emp-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",9928,398,11816,1165,10651
"Inc. emp.",0.4,"2 m34-inc_rank_emp-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",5543,244,6478,640,5838
"Inc. emp.",0.5,"2 m35-inc_rank_emp-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",3621,178,3509,349,3160
"Inc. sim.",0,"2 m36-inc_rank_sim-0-individuals-weight-0.8-ill_symptomatic-10-0.0",44692,1809,0,0,0
"Inc. sim.",0.1,"2 m37-inc_rank_sim-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",34664,1411,9802,1181,8621
"Inc. sim.",0.2,"2 m38-inc_rank_sim-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",11514,483,9546,914,8632
"Inc. sim.",0.3,"2 m39-inc_rank_sim-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",5607,226,7147,735,6412
"Random",0.4,"2 m4-random-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",7936,297,10768,1195,9573
"Inc. sim.",0.4,"2 m40-inc_rank_sim-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",5136,225,6478,674,5804
"Inc. sim.",0.5,"2 m41-inc_rank_sim-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",4069,184,4654,494,4160
"Random",0,"2 m42-random-0-individuals-weight-0.8-ill_symptomatic-10-0.0",47495,1802,0,0,0
"Random",0.1,"2 m43-random-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",23492,932,10905,1202,9703
"Random",0.2,"2 m44-random-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",14895,603,12620,1411,11209
"Random",0.3,"2 m45-random-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",12831,517,15333,1680,13653
"Random",0.4,"2 m46-random-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",8410,353,11794,1260,10534
"Random",0.5,"2 m47-random-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",5278,209,7179,791,6388
"Age+HH",0,"2 m48-super-spreaders-0-individuals-weight-0.8-ill_symptomatic-10-0.0",49857,1984,0,0,0
"Age+HH",0.1,"2 m49-super-spreaders-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",23180,992,11645,1096,10549
"Random",0.5,"2 m5-random-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",5244,210,7316,803,6513
"Age+HH",0.2,"2 m50-super-spreaders-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",11589,510,11536,1100,10436
"Age+HH",0.3,"2 m51-super-spreaders-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",5237,266,5926,579,5347
"Age+HH",0.4,"2 m52-super-spreaders-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",4507,185,5342,530,4812
"Age+HH",0.5,"2 m53-super-spreaders-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",3281,155,3526,365,3161
"Old",0,"2 m54-old-0-individuals-weight-0.8-ill_symptomatic-10-0.0",52574,2106,0,0,0
"Old",0.1,"2 m55-old-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",48805,1891,6472,1075,5397
"Old",0.2,"2 m56-old-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",43356,1617,11839,1877,9962
"Old",0.3,"2 m57-old-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",21933,806,14210,1915,12295
"Old",0.4,"2 m58-old-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",13166,459,14314,1703,12611
"Old",0.5,"2 m59-old-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",6940,269,9468,1098,8370
"Age+HH",0,"2 m6-super-spreaders-0-individuals-weight-0.8-ill_symptomatic-10-0.0",48203,1786,0,0,0
"Young",0,"2 m60-young-0-individuals-weight-0.8-ill_symptomatic-10-0.0",49032,1962,0,0,0
"Young",0.1,"2 m61-young-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",37968,1451,8401,958,7443
"Young",0.2,"2 m62-young-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",25633,1034,17207,1705,15502
"Young",0.3,"2 m63-young-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",11481,417,12530,1278,11252
"Young",0.4,"2 m64-young-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",9461,394,12385,1267,11118
"Young",0.5,"2 m65-young-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",5952,271,8518,860,7658
"HH",0,"2 m66-household_size-0-individuals-weight-0.8-ill_symptomatic-10-0.0",48172,1925,0,0,0
"HH",0.1,"2 m67-household_size-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",29750,1228,9175,792,8383
"HH",0.2,"2 m68-household_size-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",17351,679,9534,913,8621
"HH",0.3,"2 m69-household_size-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",7746,337,7487,701,6786
"Age+HH",0.1,"2 m7-super-spreaders-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",22968,967,11129,1023,10106
"HH",0.4,"2 m70-household_size-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",5363,265,5710,553,5157
"HH",0.5,"2 m71-household_size-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",3819,168,4239,423,3816
"Inc. emp.",0,"2 m72-inc_rank_emp-0-individuals-weight-0.8-ill_symptomatic-10-0.0",47332,1868,0,0,0
"Inc. emp.",0.1,"2 m73-inc_rank_emp-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",32874,1289,12410,1258,11152
"Inc. emp.",0.2,"2 m74-inc_rank_emp-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",12520,501,12888,1222,11666
"Inc. emp.",0.3,"2 m75-inc_rank_emp-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",11330,439,13657,1352,12305
"Inc. emp.",0.4,"2 m76-inc_rank_emp-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",5663,241,6541,661,5880
"Inc. emp.",0.5,"2 m77-inc_rank_emp-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",3490,157,3625,376,3249
"Inc. sim.",0,"2 m78-inc_rank_sim-0-individuals-weight-0.8-ill_symptomatic-10-0.0",52249,2010,0,0,0
"Inc. sim.",0.1,"2 m79-inc_rank_sim-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",35412,1508,10110,1199,8911
"Age+HH",0.2,"2 m8-super-spreaders-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",7985,352,6974,671,6303
"Inc. sim.",0.2,"2 m80-inc_rank_sim-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",11089,433,9143,872,8271
"Inc. sim.",0.3,"2 m81-inc_rank_sim-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",5830,273,7235,733,6502
"Inc. sim.",0.4,"2 m82-inc_rank_sim-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",4896,209,6292,651,5641
"Inc. sim.",0.5,"2 m83-inc_rank_sim-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",3791,162,4431,460,3971
"Random",0,"2 m84-random-0-individuals-weight-0.8-ill_symptomatic-10-0.0",44593,1686,0,0,0
"Random",0.1,"2 m85-random-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",26444,1017,12658,1381,11277
"Random",0.2,"2 m86-random-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",16984,674,15081,1616,13465
"Random",0.3,"2 m87-random-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",11594,431,13585,1488,12097
"Random",0.4,"2 m88-random-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",7381,254,9190,1005,8185
"Random",0.5,"2 m89-random-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",6648,294,9377,1024,8353
"Age+HH",0.3,"2 m9-super-spreaders-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",5605,226,6395,617,5778
"Age+HH",0,"2 m90-super-spreaders-0-individuals-weight-0.8-ill_symptomatic-10-0.0",43409,1713,0,0,0
"Age+HH",0.1,"2 m91-super-spreaders-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",21587,866,11022,1043,9979
"Age+HH",0.2,"2 m92-super-spreaders-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",8286,339,7768,729,7039
"Age+HH",0.3,"2 m93-super-spreaders-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",5818,263,6793,652,6141
"Age+HH",0.4,"2 m94-super-spreaders-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",3816,168,4187,408,3779
"Age+HH",0.5,"2 m95-super-spreaders-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",3185,124,3623,372,3251
"Old",0,"2 m96-old-0-individuals-weight-0.8-ill_symptomatic-10-0.0",49598,1871,0,0,0
"Old",0.1,"2 m97-old-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",45972,1819,6256,1018,5238
"Old",0.2,"2 m98-old-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",38739,1477,10625,1688,8937
"Old",0.3,"2 m99-old-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",31330,1188,20281,2808,17473
"Age",0,"3 m0-age-0-individuals-weight-0.8-ill_symptomatic-10-0.0",51868,1976,0,0,0
"Age",0.1,"3 m1-age-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",33950,1309,9951,1136,8815
"Age",0.4,"3 m10-age-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",4456,214,5279,542,4737
"Age",0.5,"3 m11-age-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",3662,148,4319,446,3873
"Age",0,"3 m12-age-0-individuals-weight-0.8-ill_symptomatic-10-0.0",44275,1699,0,0,0
"Age",0.1,"3 m13-age-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",37112,1446,10943,1269,9674
"Age",0.2,"3 m14-age-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",9676,371,8931,839,8092
"Age",0.3,"3 m15-age-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",5413,210,6254,646,5608
"Age",0.4,"3 m16-age-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",5010,225,6648,695,5953
"Age",0.5,"3 m17-age-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",3468,129,3611,383,3228
"Age",0,"3 m18-age-0-individuals-weight-0.8-ill_symptomatic-10-0.0",48486,2036,0,0,0
"Age",0.1,"3 m19-age-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",29617,1210,8822,1021,7801
"Age",0.2,"3 m2-age-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",10733,449,9378,880,8498
"Age",0.2,"3 m20-age-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",10869,477,9286,849,8437
"Age",0.3,"3 m21-age-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",5671,236,6960,710,6250
"Age",0.4,"3 m22-age-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",5299,238,6837,703,6134
"Age",0.5,"3 m23-age-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",3613,156,3957,413,3544
"Age",0,"3 m24-age-0-individuals-weight-0.8-ill_symptomatic-10-0.0",43326,1625,0,0,0
"Age",0.1,"3 m25-age-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",32202,1290,8926,1074,7852
"Age",0.2,"3 m26-age-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",12775,500,9740,941,8799
"Age",0.3,"3 m27-age-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",5618,225,6990,706,6284
"Age",0.4,"3 m28-age-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",4619,196,5567,572,4995
"Age",0.5,"3 m29-age-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",3416,155,3389,355,3034
"Age",0.3,"3 m3-age-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",5859,267,7384,754,6630
"Age",0,"3 m30-age-0-individuals-weight-0.8-ill_symptomatic-10-0.0",43004,1662,0,0,0
"Age",0.1,"3 m31-age-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",32993,1364,9555,1139,8416
"Age",0.2,"3 m32-age-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",11038,416,9136,874,8262
"Age",0.3,"3 m33-age-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",5160,240,5708,572,5136
"Age",0.4,"3 m34-age-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",4554,203,5655,572,5083
"Age",0.5,"3 m35-age-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",3751,139,3853,404,3449
"Age",0,"3 m36-age-0-individuals-weight-0.8-ill_symptomatic-10-0.0",56486,2123,0,0,0
"Age",0.1,"3 m37-age-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",35565,1415,9720,1178,8542
"Age",0.2,"3 m38-age-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",12917,482,9882,947,8935
"Age",0.3,"3 m39-age-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",5796,252,7114,742,6372
"Age",0.4,"3 m4-age-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",5581,274,7658,784,6874
"Age",0.4,"3 m40-age-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",5348,215,7080,753,6327
"Age",0.5,"3 m41-age-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",3910,174,4475,457,4018
"Age",0,"3 m42-age-0-individuals-weight-0.8-ill_symptomatic-10-0.0",51642,1988,0,0,0
"Age",0.1,"3 m43-age-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",35497,1315,9539,1195,8344
"Age",0.2,"3 m44-age-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",10418,407,8574,813,7761
"Age",0.3,"3 m45-age-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",5060,192,6258,625,5633
"Age",0.4,"3 m46-age-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",5154,211,7061,734,6327
"Age",0.5,"3 m47-age-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",3659,158,4123,427,3696
"Age",0.5,"3 m5-age-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",3588,176,3770,394,3376
"Age",0,"3 m6-age-0-individuals-weight-0.8-ill_symptomatic-10-0.0",47300,1912,0,0,0
"Age",0.1,"3 m7-age-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",37395,1529,9798,1207,8591
"Age",0.2,"3 m8-age-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",11325,466,10165,967,9198
"Age",0.3,"3 m9-age-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",5844,295,7050,734,6316
