"Prioritization","contact_tracing_frac","replication","n_infected","n_icu","n_contacts_traced","n_times_contact_tracing","n_times_contact_traced"
"Old",0.4,"1 m142-old-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",14648,538,15670,1887,13783
"Old",0.5,"1 m143-old-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",6600,242,8482,991,7491
"Young",0,"1 m144-young-0-individuals-weight-0.8-ill_symptomatic-10-0.0",43594,1759,0,0,0
"Young",0.1,"1 m145-young-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",46040,1796,10389,1195,9194
"Young",0.2,"1 m146-young-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",29134,1250,19034,1925,17109
"Young",0.3,"1 m147-young-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",12672,515,14568,1483,13085
"Young",0.4,"1 m148-young-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",8039,363,10208,1067,9141
"Young",0.5,"1 m149-young-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",6412,297,9363,949,8414
"Old",0.3,"1 m15-old-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",26407,934,17376,2336,15040
"HH",0,"1 m150-household_size-0-individuals-weight-0.8-ill_symptomatic-10-0.0",50916,2076,0,0,0
"HH",0.1,"1 m151-household_size-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",27897,1140,9434,816,8618
"HH",0.2,"1 m152-household_size-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",15165,666,9400,865,8535
"HH",0.3,"1 m153-household_size-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",7320,319,7043,664,6379
"HH",0.4,"1 m154-household_size-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",6475,256,6752,656,6096
"HH",0.5,"1 m155-household_size-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",4003,198,4248,446,3802
"Inc. emp.",0,"1 m156-inc_rank_emp-0-individuals-weight-0.8-ill_symptomatic-10-0.0",49931,1972,0,0,0
"Inc. emp.",0.1,"1 m157-inc_rank_emp-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",28010,1088,10926,1093,9833
"Inc. emp.",0.2,"1 m158-inc_rank_emp-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",11397,410,11179,1070,10109
"Inc. emp.",0.3,"1 m159-inc_rank_emp-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",9919,387,11903,1189,10714
"Old",0.4,"1 m16-old-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",11711,402,11634,1455,10179
"Inc. emp.",0.4,"1 m160-inc_rank_emp-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",5678,226,6456,653,5803
"Inc. emp.",0.5,"1 m161-inc_rank_emp-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",3661,147,4086,410,3676
"Inc. sim.",0,"1 m162-inc_rank_sim-0-individuals-weight-0.8-ill_symptomatic-10-0.0",43717,1738,0,0,0
"Inc. sim.",0.1,"1 m163-inc_rank_sim-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",34809,1476,9586,1192,8394
"Inc. sim.",0.2,"1 m164-inc_rank_sim-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",11074,408,8650,826,7824
"Inc. sim.",0.3,"1 m165-inc_rank_sim-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",5469,237,6747,679,6068
"Inc. sim.",0.4,"1 m166-inc_rank_sim-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",5354,214,7020,746,6274
"Inc. sim.",0.5,"1 m167-inc_rank_sim-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",3834,172,3869,428,3441
"Old",0.5,"1 m17-old-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",8046,326,10216,1212,9004
"Young",0,"1 m18-young-0-individuals-weight-0.8-ill_symptomatic-10-0.0",45256,1743,0,0,0
"Young",0.1,"1 m19-young-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",39484,1508,9420,1064,8356
"Random",0.2,"1 m2-random-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",16611,696,14017,1535,12482
"Young",0.2,"1 m20-young-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",25303,981,16995,1710,15285
"Young",0.3,"1 m21-young-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",13875,542,15386,1574,13812
"Young",0.4,"1 m22-young-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",7751,304,9773,988,8785
"Young",0.5,"1 m23-young-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",6110,256,8588,857,7731
"HH",0,"1 m24-household_size-0-individuals-weight-0.8-ill_symptomatic-10-0.0",53582,2259,0,0,0
"HH",0.1,"1 m25-household_size-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",24340,980,7457,665,6792
"HH",0.2,"1 m26-household_size-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",19935,817,11660,1094,10566
"HH",0.3,"1 m27-household_size-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",8074,369,7978,750,7228
"HH",0.4,"1 m28-household_size-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",5409,228,5088,498,4590
"HH",0.5,"1 m29-household_size-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",4132,187,4671,459,4212
"Random",0.3,"1 m3-random-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",10330,421,11837,1338,10499
"Inc. emp.",0,"1 m30-inc_rank_emp-0-individuals-weight-0.8-ill_symptomatic-10-0.0",47808,1843,0,0,0
"Inc. emp.",0.1,"1 m31-inc_rank_emp-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",30715,1174,12110,1192,10918
"Inc. emp.",0.2,"1 m32-inc_rank_emp-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",11743,489,11930,1124,10806
"Inc. emp.",0.3,"1 m33-inc_rank_emp-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",11257,473,13373,1344,12029
"Inc. emp.",0.4,"1 m34-inc_rank_emp-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",6061,289,7808,772,7036
