"Prioritization","contact_tracing_frac","replication","inf_p_shift","contact_tracing_contact_selection_frac","n_days_contact_tracing_isolation","n_infected","n_icu","n_contacts_traced","n_times_contact_tracing","n_times_contact_traced"
"HH",0.5,"m954-household_size-0.5-individuals-weight-0.8-ill_symptomatic-5--0.05",-0.05,0.8,5,771,50,771,77,694
"Inc. emp.",0,"m981-inc_rank_emp-0-individuals-weight-0.8-ill_symptomatic-5--0.05",-0.05,0.8,5,3663,135,0,0,0
"Random",0,"m10-random-0-individuals-weight-0.8-ill_symptomatic-5-0.0",0,0.8,5,10575,409,0,0,0
"Inc. emp.",0.1,"m1009-inc_rank_emp-0.1-individuals-weight-0.8-ill_symptomatic-5-0.0",0,0.8,5,6296,241,2342,226,2116
"Inc. emp.",0.2,"m1036-inc_rank_emp-0.2-individuals-weight-0.8-ill_symptomatic-5-0.0",0,0.8,5,2912,109,3387,319,3068
"Inc. emp.",0.3,"m1063-inc_rank_emp-0.3-individuals-weight-0.8-ill_symptomatic-5-0.0",0,0.8,5,2607,107,3451,344,3107
"Inc. emp.",0.4,"m1090-inc_rank_emp-0.4-individuals-weight-0.8-ill_symptomatic-5-0.0",0,0.8,5,1471,68,1875,195,1680
"Inc. emp.",0.5,"m1117-inc_rank_emp-0.5-individuals-weight-0.8-ill_symptomatic-5-0.0",0,0.8,5,759,35,845,95,750
"Inc. sim.",0,"m1144-inc_rank_sim-0-individuals-weight-0.8-ill_symptomatic-5-0.0",0,0.8,5,9329,364,0,0,0
"Inc. sim.",0.1,"m1171-inc_rank_sim-0.1-individuals-weight-0.8-ill_symptomatic-5-0.0",0,0.8,5,8294,328,2536,306,2230
"Random",0.4,"m118-random-0.4-individuals-weight-0.8-ill_symptomatic-5-0.0",0,0.8,5,2328,70,3797,407,3390
"Inc. sim.",0.2,"m1198-inc_rank_sim-0.2-individuals-weight-0.8-ill_symptomatic-5-0.0",0,0.8,5,2658,108,2390,221,2169
"Inc. sim.",0.3,"m1225-inc_rank_sim-0.3-individuals-weight-0.8-ill_symptomatic-5-0.0",0,0.8,5,1227,42,1676,169,1507
"Inc. sim.",0.4,"m1252-inc_rank_sim-0.4-individuals-weight-0.8-ill_symptomatic-5-0.0",0,0.8,5,1083,53,1677,182,1495
"Inc. sim.",0.5,"m1279-inc_rank_sim-0.5-individuals-weight-0.8-ill_symptomatic-5-0.0",0,0.8,5,758,31,931,107,824
"Random",0.5,"m145-random-0.5-individuals-weight-0.8-ill_symptomatic-5-0.0",0,0.8,5,1022,34,1389,151,1238
"Age+HH",0,"m172-super-spreaders-0-individuals-weight-0.8-ill_symptomatic-5-0.0",0,0.8,5,8520,359,0,0,0
"Age+HH",0.1,"m199-super-spreaders-0.1-individuals-weight-0.8-ill_symptomatic-5-0.0",0,0.8,5,6250,250,3222,319,2903
"Age+HH",0.2,"m226-super-spreaders-0.2-individuals-weight-0.8-ill_symptomatic-5-0.0",0,0.8,5,1956,63,2025,195,1830
"Age+HH",0.3,"m253-super-spreaders-0.3-individuals-weight-0.8-ill_symptomatic-5-0.0",0,0.8,5,1292,44,1824,177,1647
"Age+HH",0.4,"m280-super-spreaders-0.4-individuals-weight-0.8-ill_symptomatic-5-0.0",0,0.8,5,1075,55,1584,159,1425
"Age+HH",0.5,"m307-super-spreaders-0.5-individuals-weight-0.8-ill_symptomatic-5-0.0",0,0.8,5,681,18,718,78,640
"Old",0,"m334-old-0-individuals-weight-0.8-ill_symptomatic-5-0.0",0,0.8,5,10621,398,0,0,0
"Old",0.1,"m361-old-0.1-individuals-weight-0.8-ill_symptomatic-5-0.0",0,0.8,5,7765,313,1132,192,940
"Random",0.1,"m37-random-0.1-individuals-weight-0.8-ill_symptomatic-5-0.0",0,0.8,5,4485,176,2073,229,1844
"Old",0.2,"m388-old-0.2-individuals-weight-0.8-ill_symptomatic-5-0.0",0,0.8,5,9100,321,2570,413,2157
"Old",0.3,"m415-old-0.3-individuals-weight-0.8-ill_symptomatic-5-0.0",0,0.8,5,4279,152,2796,412,2384
"Old",0.4,"m442-old-0.4-individuals-weight-0.8-ill_symptomatic-5-0.0",0,0.8,5,2911,116,3185,396,2789
"Old",0.5,"m469-old-0.5-individuals-weight-0.8-ill_symptomatic-5-0.0",0,0.8,5,1538,68,2203,257,1946
"Young",0,"m496-young-0-individuals-weight-0.8-ill_symptomatic-5-0.0",0,0.8,5,11173,443,0,0,0
"Young",0.1,"m523-young-0.1-individuals-weight-0.8-ill_symptomatic-5-0.0",0,0.8,5,9206,354,2263,252,2011
"Young",0.2,"m550-young-0.2-individuals-weight-0.8-ill_symptomatic-5-0.0",0,0.8,5,5249,199,3435,352,3083
"Young",0.3,"m577-young-0.3-individuals-weight-0.8-ill_symptomatic-5-0.0",0,0.8,5,3047,132,3284,360,2924
"Young",0.4,"m604-young-0.4-individuals-weight-0.8-ill_symptomatic-5-0.0",0,0.8,5,2170,76,3450,352,3098
"Young",0.5,"m631-young-0.5-individuals-weight-0.8-ill_symptomatic-5-0.0",0,0.8,5,1314,64,1911,208,1703
"Random",0.2,"m64-random-0.2-individuals-weight-0.8-ill_symptomatic-5-0.0",0,0.8,5,3632,129,3181,356,2825
"Age",0,"m658-age-0-individuals-weight-0.8-ill_symptomatic-5-0.0",0,0.8,5,10682,397,0,0,0
"Age",0.1,"m685-age-0.1-individuals-weight-0.8-ill_symptomatic-5-0.0",0,0.8,5,7812,331,2486,300,2186
"Age",0.2,"m712-age-0.2-individuals-weight-0.8-ill_symptomatic-5-0.0",0,0.8,5,2422,112,2018,194,1824
"Age",0.3,"m739-age-0.3-individuals-weight-0.8-ill_symptomatic-5-0.0",0,0.8,5,1420,57,2015,212,1803
"Age",0.4,"m766-age-0.4-individuals-weight-0.8-ill_symptomatic-5-0.0",0,0.8,5,1227,58,1917,203,1714
"Age",0.5,"m793-age-0.5-individuals-weight-0.8-ill_symptomatic-5-0.0",0,0.8,5,820,32,1007,108,899
"HH",0,"m820-household_size-0-individuals-weight-0.8-ill_symptomatic-5-0.0",0,0.8,5,9673,379,0,0,0
"HH",0.1,"m847-household_size-0.1-individuals-weight-0.8-ill_symptomatic-5-0.0",0,0.8,5,4247,167,1303,116,1187
"HH",0.2,"m874-household_size-0.2-individuals-weight-0.8-ill_symptomatic-5-0.0",0,0.8,5,2726,119,1951,185,1766
"HH",0.3,"m901-household_size-0.3-individuals-weight-0.8-ill_symptomatic-5-0.0",0,0.8,5,1500,78,1446,141,1305
"Random",0.3,"m91-random-0.3-individuals-weight-0.8-ill_symptomatic-5-0.0",0,0.8,5,2370,103,2434,275,2159
"HH",0.4,"m928-household_size-0.4-individuals-weight-0.8-ill_symptomatic-5-0.0",0,0.8,5,1054,38,996,109,887
"HH",0.5,"m955-household_size-0.5-individuals-weight-0.8-ill_symptomatic-5-0.0",0,0.8,5,823,55,1091,107,984
"Inc. emp.",0,"m982-inc_rank_emp-0-individuals-weight-0.8-ill_symptomatic-5-0.0",0,0.8,5,11232,464,0,0,0
"Inc. emp.",0.1,"m1010-inc_rank_emp-0.1-individuals-weight-0.8-ill_symptomatic-5-0.05",0.05,0.8,5,11454,475,4359,460,3899
"Inc. emp.",0.2,"m1037-inc_rank_emp-0.2-individuals-weight-0.8-ill_symptomatic-5-0.05",0.05,0.8,5,6327,284,7782,742,7040
"Inc. emp.",0.3,"m1064-inc_rank_emp-0.3-individuals-weight-0.8-ill_symptomatic-5-0.05",0.05,0.8,5,4534,178,6099,620,5479
"Inc. emp.",0.4,"m1091-inc_rank_emp-0.4-individuals-weight-0.8-ill_symptomatic-5-0.05",0.05,0.8,5,1568,58,2133,217,1916
"Random",0,"m11-random-0-individuals-weight-0.8-ill_symptomatic-5-0.05",0.05,0.8,5,18633,774,0,0,0
"Inc. emp.",0.5,"m1118-inc_rank_emp-0.5-individuals-weight-0.8-ill_symptomatic-5-0.05",0.05,0.8,5,1209,53,1788,179,1609
"Inc. sim.",0,"m1145-inc_rank_sim-0-individuals-weight-0.8-ill_symptomatic-5-0.05",0.05,0.8,5,18032,760,0,0,0
"Inc. sim.",0.1,"m1172-inc_rank_sim-0.1-individuals-weight-0.8-ill_symptomatic-5-0.05",0.05,0.8,5,14799,623,4548,572,3976
"Random",0.4,"m119-random-0.4-individuals-weight-0.8-ill_symptomatic-5-0.05",0.05,0.8,5,2977,135,4381,501,3880
"Inc. sim.",0.2,"m1199-inc_rank_sim-0.2-individuals-weight-0.8-ill_symptomatic-5-0.05",0.05,0.8,5,4613,201,4662,465,4197
"Inc. sim.",0.3,"m1226-inc_rank_sim-0.3-individuals-weight-0.8-ill_symptomatic-5-0.05",0.05,0.8,5,2707,132,4480,467,4013
"Inc. sim.",0.4,"m1253-inc_rank_sim-0.4-individuals-weight-0.8-ill_symptomatic-5-0.05",0.05,0.8,5,1703,69,2609,283,2326
"Inc. sim.",0.5,"m1280-inc_rank_sim-0.5-individuals-weight-0.8-ill_symptomatic-5-0.05",0.05,0.8,5,1153,52,1898,206,1692
"Random",0.5,"m146-random-0.5-individuals-weight-0.8-ill_symptomatic-5-0.05",0.05,0.8,5,1446,59,2448,269,2179
"Age+HH",0,"m173-super-spreaders-0-individuals-weight-0.8-ill_symptomatic-5-0.05",0.05,0.8,5,23008,895,0,0,0
"Age+HH",0.1,"m200-super-spreaders-0.1-individuals-weight-0.8-ill_symptomatic-5-0.05",0.05,0.8,5,8410,321,4455,428,4027
"Age+HH",0.2,"m227-super-spreaders-0.2-individuals-weight-0.8-ill_symptomatic-5-0.05",0.05,0.8,5,3881,160,4010,381,3629
"Age+HH",0.3,"m254-super-spreaders-0.3-individuals-weight-0.8-ill_symptomatic-5-0.05",0.05,0.8,5,1751,77,2552,255,2297
"Age+HH",0.4,"m281-super-spreaders-0.4-individuals-weight-0.8-ill_symptomatic-5-0.05",0.05,0.8,5,1351,57,2128,217,1911
"Age+HH",0.5,"m308-super-spreaders-0.5-individuals-weight-0.8-ill_symptomatic-5-0.05",0.05,0.8,5,992,51,1476,159,1317
"Old",0,"m335-old-0-individuals-weight-0.8-ill_symptomatic-5-0.05",0.05,0.8,5,17121,682,0,0,0
"Old",0.1,"m362-old-0.1-individuals-weight-0.8-ill_symptomatic-5-0.05",0.05,0.8,5,16369,597,2300,390,1910
"Random",0.1,"m38-random-0.1-individuals-weight-0.8-ill_symptomatic-5-0.05",0.05,0.8,5,10048,376,4871,529,4342
"Old",0.2,"m389-old-0.2-individuals-weight-0.8-ill_symptomatic-5-0.05",0.05,0.8,5,16876,609,4936,791,4145
"Old",0.3,"m416-old-0.3-individuals-weight-0.8-ill_symptomatic-5-0.05",0.05,0.8,5,10521,394,7146,998,6148
"Old",0.4,"m443-old-0.4-individuals-weight-0.8-ill_symptomatic-5-0.05",0.05,0.8,5,5719,196,6311,787,5524
"Old",0.5,"m470-old-0.5-individuals-weight-0.8-ill_symptomatic-5-0.05",0.05,0.8,5,2338,97,3624,427,3197
"Young",0,"m497-young-0-individuals-weight-0.8-ill_symptomatic-5-0.05",0.05,0.8,5,20245,753,0,0,0
"Young",0.1,"m524-young-0.1-individuals-weight-0.8-ill_symptomatic-5-0.05",0.05,0.8,5,15424,670,3438,400,3038
"Young",0.2,"m551-young-0.2-individuals-weight-0.8-ill_symptomatic-5-0.05",0.05,0.8,5,10214,413,6394,671,5723
"Young",0.3,"m578-young-0.3-individuals-weight-0.8-ill_symptomatic-5-0.05",0.05,0.8,5,5597,237,6569,682,5887
"Young",0.4,"m605-young-0.4-individuals-weight-0.8-ill_symptomatic-5-0.05",0.05,0.8,5,3060,128,4781,507,4274
"Young",0.5,"m632-young-0.5-individuals-weight-0.8-ill_symptomatic-5-0.05",0.05,0.8,5,1828,79,3118,334,2784
"Random",0.2,"m65-random-0.2-individuals-weight-0.8-ill_symptomatic-5-0.05",0.05,0.8,5,9827,359,8861,992,7869
"Age",0,"m659-age-0-individuals-weight-0.8-ill_symptomatic-5-0.05",0.05,0.8,5,21867,815,0,0,0
"Age",0.1,"m686-age-0.1-individuals-weight-0.8-ill_symptomatic-5-0.05",0.05,0.8,5,13791,561,4127,494,3633
"Age",0.2,"m713-age-0.2-individuals-weight-0.8-ill_symptomatic-5-0.05",0.05,0.8,5,4229,184,3963,387,3576
"Age",0.3,"m740-age-0.3-individuals-weight-0.8-ill_symptomatic-5-0.05",0.05,0.8,5,1658,71,2394,256,2138
"Age",0.4,"m767-age-0.4-individuals-weight-0.8-ill_symptomatic-5-0.05",0.05,0.8,5,1775,76,2944,310,2634
"Age",0.5,"m794-age-0.5-individuals-weight-0.8-ill_symptomatic-5-0.05",0.05,0.8,5,939,41,1364,141,1223
"HH",0,"m821-household_size-0-individuals-weight-0.8-ill_symptomatic-5-0.05",0.05,0.8,5,21579,850,0,0,0
"HH",0.1,"m848-household_size-0.1-individuals-weight-0.8-ill_symptomatic-5-0.05",0.05,0.8,5,13879,579,5346,499,4847
"HH",0.2,"m875-household_size-0.2-individuals-weight-0.8-ill_symptomatic-5-0.05",0.05,0.8,5,7545,357,4903,465,4438
"HH",0.3,"m902-household_size-0.3-individuals-weight-0.8-ill_symptomatic-5-0.05",0.05,0.8,5,2381,82,2511,245,2266
"Random",0.3,"m92-random-0.3-individuals-weight-0.8-ill_symptomatic-5-0.05",0.05,0.8,5,4665,169,5992,663,5329
"HH",0.4,"m929-household_size-0.4-individuals-weight-0.8-ill_symptomatic-5-0.05",0.05,0.8,5,2110,104,2751,283,2468
"HH",0.5,"m956-household_size-0.5-individuals-weight-0.8-ill_symptomatic-5-0.05",0.05,0.8,5,1109,47,1448,149,1299
"Inc. emp.",0,"m983-inc_rank_emp-0-individuals-weight-0.8-ill_symptomatic-5-0.05",0.05,0.8,5,20326,837,0,0,0
"Inc. emp.",0.1,"m1017-inc_rank_emp-0.1-individuals-weight-1-ill_symptomatic-5--0.05",-0.05,1,5,2879,108,1395,111,1284
"Inc. emp.",0.2,"m1044-inc_rank_emp-0.2-individuals-weight-1-ill_symptomatic-5--0.05",-0.05,1,5,1307,59,1522,119,1403
"Inc. emp.",0.3,"m1071-inc_rank_emp-0.3-individuals-weight-1-ill_symptomatic-5--0.05",-0.05,1,5,1039,42,1284,104,1180
"Inc. emp.",0.4,"m1098-inc_rank_emp-0.4-individuals-weight-1-ill_symptomatic-5--0.05",-0.05,1,5,969,36,1466,120,1346
"Inc. emp.",0.5,"m1125-inc_rank_emp-0.5-individuals-weight-1-ill_symptomatic-5--0.05",-0.05,1,5,554,37,446,40,406
"Inc. sim.",0,"m1152-inc_rank_sim-0-individuals-weight-1-ill_symptomatic-5--0.05",-0.05,1,5,3562,144,0,0,0
"Inc. sim.",0.1,"m1179-inc_rank_sim-0.1-individuals-weight-1-ill_symptomatic-5--0.05",-0.05,1,5,2902,102,1323,129,1194
"Inc. sim.",0.2,"m1206-inc_rank_sim-0.2-individuals-weight-1-ill_symptomatic-5--0.05",-0.05,1,5,1482,53,1289,106,1183
"Inc. sim.",0.3,"m1233-inc_rank_sim-0.3-individuals-weight-1-ill_symptomatic-5--0.05",-0.05,1,5,726,34,962,81,881
"Random",0.4,"m126-random-0.4-individuals-weight-1-ill_symptomatic-5--0.05",-0.05,1,5,865,41,1139,108,1031
"Inc. sim.",0.4,"m1260-inc_rank_sim-0.4-individuals-weight-1-ill_symptomatic-5--0.05",-0.05,1,5,856,40,1212,99,1113
"Inc. sim.",0.5,"m1287-inc_rank_sim-0.5-individuals-weight-1-ill_symptomatic-5--0.05",-0.05,1,5,639,18,629,60,569
"Random",0.5,"m153-random-0.5-individuals-weight-1-ill_symptomatic-5--0.05",-0.05,1,5,772,30,1080,95,985
"Random",0,"m18-random-0-individuals-weight-1-ill_symptomatic-5--0.05",-0.05,1,5,3911,160,0,0,0
"Age+HH",0,"m180-super-spreaders-0-individuals-weight-1-ill_symptomatic-5--0.05",-0.05,1,5,4029,149,0,0,0
"Age+HH",0.1,"m207-super-spreaders-0.1-individuals-weight-1-ill_symptomatic-5--0.05",-0.05,1,5,1615,64,879,68,811
"Age+HH",0.2,"m234-super-spreaders-0.2-individuals-weight-1-ill_symptomatic-5--0.05",-0.05,1,5,1306,70,1476,114,1362
"Age+HH",0.3,"m261-super-spreaders-0.3-individuals-weight-1-ill_symptomatic-5--0.05",-0.05,1,5,687,20,760,60,700
"Age+HH",0.4,"m288-super-spreaders-0.4-individuals-weight-1-ill_symptomatic-5--0.05",-0.05,1,5,625,29,733,59,674
"Age+HH",0.5,"m315-super-spreaders-0.5-individuals-weight-1-ill_symptomatic-5--0.05",-0.05,1,5,609,13,735,64,671
"Old",0,"m342-old-0-individuals-weight-1-ill_symptomatic-5--0.05",-0.05,1,5,4406,189,0,0,0
"Old",0.1,"m369-old-0.1-individuals-weight-1-ill_symptomatic-5--0.05",-0.05,1,5,4237,164,640,92,548
"Old",0.2,"m396-old-0.2-individuals-weight-1-ill_symptomatic-5--0.05",-0.05,1,5,3131,107,996,132,864
"Old",0.3,"m423-old-0.3-individuals-weight-1-ill_symptomatic-5--0.05",-0.05,1,5,3128,133,2334,264,2070
"Random",0.1,"m45-random-0.1-individuals-weight-1-ill_symptomatic-5--0.05",-0.05,1,5,2622,113,1381,127,1254
"Old",0.4,"m450-old-0.4-individuals-weight-1-ill_symptomatic-5--0.05",-0.05,1,5,1576,57,1769,176,1593
"Old",0.5,"m477-old-0.5-individuals-weight-1-ill_symptomatic-5--0.05",-0.05,1,5,766,35,912,85,827
"Young",0,"m504-young-0-individuals-weight-1-ill_symptomatic-5--0.05",-0.05,1,5,4565,189,0,0,0
"Young",0.1,"m531-young-0.1-individuals-weight-1-ill_symptomatic-5--0.05",-0.05,1,5,4268,161,1100,105,995
"Young",0.2,"m558-young-0.2-individuals-weight-1-ill_symptomatic-5--0.05",-0.05,1,5,2641,120,2066,171,1895
"Young",0.3,"m585-young-0.3-individuals-weight-1-ill_symptomatic-5--0.05",-0.05,1,5,1493,63,1791,150,1641
"Young",0.4,"m612-young-0.4-individuals-weight-1-ill_symptomatic-5--0.05",-0.05,1,5,1087,42,1790,147,1643
"Young",0.5,"m639-young-0.5-individuals-weight-1-ill_symptomatic-5--0.05",-0.05,1,5,920,44,1532,130,1402
"Age",0,"m666-age-0-individuals-weight-1-ill_symptomatic-5--0.05",-0.05,1,5,4479,181,0,0,0
"Age",0.1,"m693-age-0.1-individuals-weight-1-ill_symptomatic-5--0.05",-0.05,1,5,3170,122,1168,122,1046
"Random",0.2,"m72-random-0.2-individuals-weight-1-ill_symptomatic-5--0.05",-0.05,1,5,1709,67,1685,151,1534
"Age",0.2,"m720-age-0.2-individuals-weight-1-ill_symptomatic-5--0.05",-0.05,1,5,993,58,777,57,720
"Age",0.3,"m747-age-0.3-individuals-weight-1-ill_symptomatic-5--0.05",-0.05,1,5,907,33,1141,98,1043
"Age",0.4,"m774-age-0.4-individuals-weight-1-ill_symptomatic-5--0.05",-0.05,1,5,728,30,1049,82,967
"Age",0.5,"m801-age-0.5-individuals-weight-1-ill_symptomatic-5--0.05",-0.05,1,5,523,30,405,34,371
"HH",0,"m828-household_size-0-individuals-weight-1-ill_symptomatic-5--0.05",-0.05,1,5,5366,184,0,0,0
"HH",0.1,"m855-household_size-0.1-individuals-weight-1-ill_symptomatic-5--0.05",-0.05,1,5,2259,90,818,60,758
"HH",0.2,"m882-household_size-0.2-individuals-weight-1-ill_symptomatic-5--0.05",-0.05,1,5,1783,81,1405,109,1296
"HH",0.3,"m909-household_size-0.3-individuals-weight-1-ill_symptomatic-5--0.05",-0.05,1,5,1249,56,1279,99,1180
"HH",0.4,"m936-household_size-0.4-individuals-weight-1-ill_symptomatic-5--0.05",-0.05,1,5,680,34,550,46,504
"HH",0.5,"m963-household_size-0.5-individuals-weight-1-ill_symptomatic-5--0.05",-0.05,1,5,733,35,797,71,726
"Random",0.3,"m99-random-0.3-individuals-weight-1-ill_symptomatic-5--0.05",-0.05,1,5,1709,64,2455,219,2236
"Inc. emp.",0,"m990-inc_rank_emp-0-individuals-weight-1-ill_symptomatic-5--0.05",-0.05,1,5,4751,165,0,0,0
"Random",0.3,"m100-random-0.3-individuals-weight-1-ill_symptomatic-5-0.0",0,1,5,2478,107,3861,346,3515
"Inc. emp.",0.1,"m1018-inc_rank_emp-0.1-individuals-weight-1-ill_symptomatic-5-0.0",0,1,5,5642,197,2741,225,2516
"Inc. emp.",0.2,"m1045-inc_rank_emp-0.2-individuals-weight-1-ill_symptomatic-5-0.0",0,1,5,2804,118,3610,287,3323
"Inc. emp.",0.3,"m1072-inc_rank_emp-0.3-individuals-weight-1-ill_symptomatic-5-0.0",0,1,5,2008,80,3038,247,2791
"Inc. emp.",0.4,"m1099-inc_rank_emp-0.4-individuals-weight-1-ill_symptomatic-5-0.0",0,1,5,1500,62,2350,193,2157
"Inc. emp.",0.5,"m1126-inc_rank_emp-0.5-individuals-weight-1-ill_symptomatic-5-0.0",0,1,5,671,34,739,60,679
"Inc. sim.",0,"m1153-inc_rank_sim-0-individuals-weight-1-ill_symptomatic-5-0.0",0,1,5,9707,384,0,0,0
"Inc. sim.",0.1,"m1180-inc_rank_sim-0.1-individuals-weight-1-ill_symptomatic-5-0.0",0,1,5,7301,290,2328,241,2087
"Inc. sim.",0.2,"m1207-inc_rank_sim-0.2-individuals-weight-1-ill_symptomatic-5-0.0",0,1,5,2180,108,2484,201,2283
"Inc. sim.",0.3,"m1234-inc_rank_sim-0.3-individuals-weight-1-ill_symptomatic-5-0.0",0,1,5,1086,49,1747,142,1605
"Inc. sim.",0.4,"m1261-inc_rank_sim-0.4-individuals-weight-1-ill_symptomatic-5-0.0",0,1,5,1115,45,1744,153,1591
"Random",0.4,"m127-random-0.4-individuals-weight-1-ill_symptomatic-5-0.0",0,1,5,1590,54,2582,244,2338
"Inc. sim.",0.5,"m1288-inc_rank_sim-0.5-individuals-weight-1-ill_symptomatic-5-0.0",0,1,5,743,28,1002,89,913
"Random",0.5,"m154-random-0.5-individuals-weight-1-ill_symptomatic-5-0.0",0,1,5,1537,72,3178,277,2901
"Age+HH",0,"m181-super-spreaders-0-individuals-weight-1-ill_symptomatic-5-0.0",0,1,5,10339,419,0,0,0
"Random",0,"m19-random-0-individuals-weight-1-ill_symptomatic-5-0.0",0,1,5,8355,325,0,0,0
"Age+HH",0.1,"m208-super-spreaders-0.1-individuals-weight-1-ill_symptomatic-5-0.0",0,1,5,5593,217,3386,261,3125
"Age+HH",0.2,"m235-super-spreaders-0.2-individuals-weight-1-ill_symptomatic-5-0.0",0,1,5,2165,118,2776,214,2562
"Age+HH",0.3,"m262-super-spreaders-0.3-individuals-weight-1-ill_symptomatic-5-0.0",0,1,5,1026,39,1701,136,1565
"Age+HH",0.4,"m289-super-spreaders-0.4-individuals-weight-1-ill_symptomatic-5-0.0",0,1,5,761,40,1234,104,1130
"Age+HH",0.5,"m316-super-spreaders-0.5-individuals-weight-1-ill_symptomatic-5-0.0",0,1,5,663,32,934,79,855
"Old",0,"m343-old-0-individuals-weight-1-ill_symptomatic-5-0.0",0,1,5,11474,418,0,0,0
"Old",0.1,"m370-old-0.1-individuals-weight-1-ill_symptomatic-5-0.0",0,1,5,7668,316,1270,172,1098
"Old",0.2,"m397-old-0.2-individuals-weight-1-ill_symptomatic-5-0.0",0,1,5,6932,261,2298,308,1990
"Old",0.3,"m424-old-0.3-individuals-weight-1-ill_symptomatic-5-0.0",0,1,5,5380,224,4452,519,3933
"Old",0.4,"m451-old-0.4-individuals-weight-1-ill_symptomatic-5-0.0",0,1,5,2682,113,3753,381,3372
"Random",0.1,"m46-random-0.1-individuals-weight-1-ill_symptomatic-5-0.0",0,1,5,5226,199,3092,272,2820
"Old",0.5,"m478-old-0.5-individuals-weight-1-ill_symptomatic-5-0.0",0,1,5,1350,44,2340,230,2110
"Young",0,"m505-young-0-individuals-weight-1-ill_symptomatic-5-0.0",0,1,5,8252,324,0,0,0
"Young",0.1,"m532-young-0.1-individuals-weight-1-ill_symptomatic-5-0.0",0,1,5,10850,438,2992,284,2708
"Young",0.2,"m559-young-0.2-individuals-weight-1-ill_symptomatic-5-0.0",0,1,5,5902,225,4625,365,4260
"Young",0.3,"m586-young-0.3-individuals-weight-1-ill_symptomatic-5-0.0",0,1,5,3165,121,4645,396,4249
"Young",0.4,"m613-young-0.4-individuals-weight-1-ill_symptomatic-5-0.0",0,1,5,1671,62,2841,237,2604
"Young",0.5,"m640-young-0.5-individuals-weight-1-ill_symptomatic-5-0.0",0,1,5,1216,53,2617,215,2402
"Age",0,"m667-age-0-individuals-weight-1-ill_symptomatic-5-0.0",0,1,5,9666,380,0,0,0
"Age",0.1,"m694-age-0.1-individuals-weight-1-ill_symptomatic-5-0.0",0,1,5,6307,250,2342,223,2119
"Age",0.2,"m721-age-0.2-individuals-weight-1-ill_symptomatic-5-0.0",0,1,5,2618,121,2644,207,2437
"Random",0.2,"m73-random-0.2-individuals-weight-1-ill_symptomatic-5-0.0",0,1,5,3389,139,3515,321,3194
"Age",0.3,"m748-age-0.3-individuals-weight-1-ill_symptomatic-5-0.0",0,1,5,1275,56,1962,164,1798
"Age",0.4,"m775-age-0.4-individuals-weight-1-ill_symptomatic-5-0.0",0,1,5,1067,51,1800,151,1649
"Age",0.5,"m802-age-0.5-individuals-weight-1-ill_symptomatic-5-0.0",0,1,5,797,39,1192,102,1090
"HH",0,"m829-household_size-0-individuals-weight-1-ill_symptomatic-5-0.0",0,1,5,8335,342,0,0,0
"HH",0.1,"m856-household_size-0.1-individuals-weight-1-ill_symptomatic-5-0.0",0,1,5,5551,241,2564,187,2377
"HH",0.2,"m883-household_size-0.2-individuals-weight-1-ill_symptomatic-5-0.0",0,1,5,3250,113,2229,174,2055
"HH",0.3,"m910-household_size-0.3-individuals-weight-1-ill_symptomatic-5-0.0",0,1,5,1517,60,1433,122,1311
"HH",0.4,"m937-household_size-0.4-individuals-weight-1-ill_symptomatic-5-0.0",0,1,5,1288,62,1789,141,1648
"HH",0.5,"m964-household_size-0.5-individuals-weight-1-ill_symptomatic-5-0.0",0,1,5,771,32,1208,100,1108
"Inc. emp.",0,"m991-inc_rank_emp-0-individuals-weight-1-ill_symptomatic-5-0.0",0,1,5,11616,481,0,0,0
"Random",0.3,"m101-random-0.3-individuals-weight-1-ill_symptomatic-5-0.05",0.05,1,5,5467,239,8395,742,7653
"Inc. emp.",0.1,"m1019-inc_rank_emp-0.1-individuals-weight-1-ill_symptomatic-5-0.05",0.05,1,5,11058,404,4828,407,4421
"Inc. emp.",0.2,"m1046-inc_rank_emp-0.2-individuals-weight-1-ill_symptomatic-5-0.05",0.05,1,5,5177,225,6729,534,6195
"Inc. emp.",0.3,"m1073-inc_rank_emp-0.3-individuals-weight-1-ill_symptomatic-5-0.05",0.05,1,5,3764,154,5480,468,5012
"Inc. emp.",0.4,"m1100-inc_rank_emp-0.4-individuals-weight-1-ill_symptomatic-5-0.05",0.05,1,5,2378,82,4409,355,4054
"Inc. emp.",0.5,"m1127-inc_rank_emp-0.5-individuals-weight-1-ill_symptomatic-5-0.05",0.05,1,5,999,49,1484,132,1352
"Inc. sim.",0,"m1154-inc_rank_sim-0-individuals-weight-1-ill_symptomatic-5-0.05",0.05,1,5,21743,875,0,0,0
"Inc. sim.",0.1,"m1181-inc_rank_sim-0.1-individuals-weight-1-ill_symptomatic-5-0.05",0.05,1,5,10916,450,3901,391,3510
"Inc. sim.",0.2,"m1208-inc_rank_sim-0.2-individuals-weight-1-ill_symptomatic-5-0.05",0.05,1,5,3963,160,4752,386,4366
"Inc. sim.",0.3,"m1235-inc_rank_sim-0.3-individuals-weight-1-ill_symptomatic-5-0.05",0.05,1,5,1694,59,3112,260,2852
"Inc. sim.",0.4,"m1262-inc_rank_sim-0.4-individuals-weight-1-ill_symptomatic-5-0.05",0.05,1,5,1289,51,2345,209,2136
