"Prioritization","contact_tracing_frac","replication","inf_p_shift","contact_tracing_contact_selection_frac","n_days_contact_tracing_isolation","n_infected","n_icu","n_contacts_traced","n_times_contact_tracing","n_times_contact_traced"
"HH",0.4,"m918-household_size-0.4-individuals-weight-0.6-ill_symptomatic-5--0.05",-0.05,0.6,5,847,39,748,93,655
"HH",0.5,"m945-household_size-0.5-individuals-weight-0.6-ill_symptomatic-5--0.05",-0.05,0.6,5,656,28,572,74,498
"Inc. emp.",0,"m972-inc_rank_emp-0-individuals-weight-0.6-ill_symptomatic-5--0.05",-0.05,0.6,5,4561,190,0,0,0
"Inc. emp.",0.1,"m999-inc_rank_emp-0.1-individuals-weight-0.6-ill_symptomatic-5--0.05",-0.05,0.6,5,3842,149,1219,155,1064
"Random",0,"m1-random-0-individuals-weight-0.6-ill_symptomatic-5-0.0",0,0.6,5,12041,498,0,0,0
"Inc. emp.",0.1,"m1000-inc_rank_emp-0.1-individuals-weight-0.6-ill_symptomatic-5-0.0",0,0.6,5,8850,345,2955,386,2569
"Inc. emp.",0.2,"m1027-inc_rank_emp-0.2-individuals-weight-0.6-ill_symptomatic-5-0.0",0,0.6,5,2657,102,2226,283,1943
"Inc. emp.",0.3,"m1054-inc_rank_emp-0.3-individuals-weight-0.6-ill_symptomatic-5-0.0",0,0.6,5,2351,73,2382,316,2066
"Inc. emp.",0.4,"m1081-inc_rank_emp-0.4-individuals-weight-0.6-ill_symptomatic-5-0.0",0,0.6,5,1453,56,1527,198,1329
"Random",0.4,"m109-random-0.4-individuals-weight-0.6-ill_symptomatic-5-0.0",0,0.6,5,2005,77,2332,332,2000
"Inc. emp.",0.5,"m1108-inc_rank_emp-0.5-individuals-weight-0.6-ill_symptomatic-5-0.0",0,0.6,5,560,21,409,54,355
"Inc. sim.",0,"m1135-inc_rank_sim-0-individuals-weight-0.6-ill_symptomatic-5-0.0",0,0.6,5,10187,389,0,0,0
"Inc. sim.",0.1,"m1162-inc_rank_sim-0.1-individuals-weight-0.6-ill_symptomatic-5-0.0",0,0.6,5,7487,309,1442,234,1208
"Inc. sim.",0.2,"m1189-inc_rank_sim-0.2-individuals-weight-0.6-ill_symptomatic-5-0.0",0,0.6,5,2487,103,1977,255,1722
"Inc. sim.",0.3,"m1216-inc_rank_sim-0.3-individuals-weight-0.6-ill_symptomatic-5-0.0",0,0.6,5,1609,78,1874,255,1619
"Inc. sim.",0.4,"m1243-inc_rank_sim-0.4-individuals-weight-0.6-ill_symptomatic-5-0.0",0,0.6,5,1089,49,1148,159,989
